no,no_bam,situs,poktan,desa,bast
146,146/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104707/empty,Majumakmur,Gedangan,14160000
147,147/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104708/empty,Argo Mulyo,Ngrayun,29500000
148,148/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104709/empty,Giri Mulyo,Sendang,5900000
149,149/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104710/empty,Tirto Mulyo,Temon,13865000
150,150/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104711/empty,Wono Mulyo,Wonodadi,14750000
151,151/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104712/empty,Margo Mulyo,Beduri,7375000
152,152/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104713/empty,Sari Makmur,Brotonegaran,4425000
153,153/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104714/empty,Maju Berkah,Jingglong,2950000
154,154/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104715/empty,Cokronegoro,Kauman,5900000
155,155/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104716/empty,Ronggoniti,Keniten,8850000
156,156/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104717/empty,Sari Tani,Kepatihan,5900000
157,157/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104718/empty,Makmur Santoso,Mangkujayan,4425000
158,158/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104719/empty,Paju Makmur,Paju,8850000
159,159/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104720/empty,Sari Makmur,Pinggirsari,2950000
160,160/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104721/empty,Purbo Manunggal,Purbosuman,8850000
161,161/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104722/empty,Jaya Mulya,Tonatan,5900000
162,162/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104723/empty,Nggayuh Makmur,Bareng,30090000
163,163/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104724/empty,Sejahtera,Banaran,10325000
164,164/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104725/empty,Ngudi Mulyo,Bedrug,11800000
165,165/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104726/empty,Cahaya Mandiri,Bekiring,8850000
166,166/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104727/empty,Karang Makmur,Karangpatihan,14160000
167,167/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104728/empty,Nggayuh Makmur,Kesugihan,7080000
168,168/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104729/empty,Subur Waluyo,Munggung,12390000
