no,no_bam,situs,poktan,desa,bast
53,511,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104859/empty,Sahata,Bandar Purba,10030000
54,512,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104860/empty,Tunas Muda,Bandar Purba,10030000
55,513,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104862/empty,Bandar Tani,Bandar Purba,7375000
56,514,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104864/empty,Serpang Simalem,Lau Kesumpat,8850000
57,515,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104866/empty,Sawah Telko,Lau Kesumpat,7670000
58,516,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104868/empty,Sativa Tani,Lau Kesumpat,8260000
59,517,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104870/empty,Lau Kasumpat,Lau Kesumpat,7080000
60,518,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104872/empty,Gotong Royong,Lau Kesumpat,7375000
61,519,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104874/empty,Paya Elok,Lau Kesumpat,8260000
62,520,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104876/empty,Pemarparen,Lau Kesumpat,7080000
63,521,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104878/empty,Berkat Doa,Lau Kesumpat,7080000
64,522,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104904/empty,Kampung Dalam Indah (Kdi),Lau Kesumpat,6490000
65,523,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104905/empty,Sari Tani,Lau Kesumpat,5900000
66,524,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104906/empty,Cinta Dame,Lau Kesumpat,5900000
67,525,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104907/empty,Latersia,Lau Kesumpat,6490000
68,526,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104908/empty,Lau Kapur,Lau Kesumpat,7080000
69,527,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104909/empty,Ora Et Labora,Lau Kesumpat,7375000
70,528,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104910/empty,Arih Ersada,Kuta Pengkih,11800000
71,529,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104911/empty,Bukit Simalem,Kuta Pengkih,12390000
72,530,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104912/empty,Bunga Ncole,Kuta Pengkih,13275000
