no,no_bam,situs,poktan,desa
482,482/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105354/empty,Sabah Gugung,Jandi
511,511/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105391/empty,Lau Daling,Namosuro
514,514/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105395/empty,Sabah Dekel,Pasar Baru
515,515/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105396/empty,Urar Nijaba,Mbetong
519,519/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105401/empty,Engkuang Erduri,Mbetong
524,524/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105407/empty,Kerangen Pinang,Bekilang
531,531/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105416/empty,Bunga Ncole,Serdang
541,541/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105429/empty,Sekolah Lapang,Penampen
545,545/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105434/empty,Juma Bendera,Paribun
548,548/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105439/empty,Juma Sambelang,Persadanta
550,550/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105441/empty,Bunga Ncole,Persadanta
564,564/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105457/empty,Sukses Merga Silima,Sinaman
603,603/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105508/empty,Kita Tani,Rumamis
605,605/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105510/empty,Jumata Rimo,Rumamis
608,608/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105514/empty,Sangap Encari,Semangat
609,609/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105515/empty,Sangapta Ras,Semangat
610,610/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105516/empty,Enerjik Jeruk,Semangat
625,625/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105535/empty,Juma Tusam,Sukanalu
626,626/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105536/empty,Tani Sejahtra,Sukanalu
655,655/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105570/empty,Tergayu,Siabang-abang
656,656/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105571/empty,Lau Kerapat,Siabang-abang
665,665/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105581/empty,Sapo Ijuk,Negeri Jahe
695,695/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105615/empty,Bulan Gugong,Bintang Meriah
704,704/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105626/empty,Juma Jering,Kutabuluh
705,705/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105627/empty,Sembara Berneh,Kutabuluh
717,717/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105641/empty,Sumbah Gugung,Kutabuluh
720,720/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105644/empty,Sembara Gugung,Kutabuluh
738,738/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105665/empty,Rambah Galoh,Pola Tebu
743,743/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105671/empty,Lau Butar,Kuta Male
744,744/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105672/empty,Pacike,Kuta Male
745,745/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105673/empty,Jumpa Rejeki,Suka
746,746/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105674/empty,Paya Paku,Suka
769,769/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105701/empty,Silindung Bulan Jabu Nderket,Suka Sipilihen
770,770/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105702/empty,Simulih Karaben,Suka Sipilihen
777,777/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105710/empty,Radu Namaken Kekelengen,Bunuraya
799,799/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105733/empty,Harapan Tani,Tigapanah
815,815/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105751/empty,WT Gunanta Ras,Singa
820,820/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105757/empty,Sangap Encari,Salit
823,823/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105761/empty,Merga Silima,Salit
824,824/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105762/empty,Ora Et Labora,Salit
833,833/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105772/empty,Lau Ngelbuh,Kutambelin
835,835/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105775/empty,Ajikinayan,Kutambelin
843,843/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105783/empty,Sabah Berneh,Perbaji
844,844/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105784/empty,Ulih Latih,Perbaji
855,855/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105797/empty,Sada Nioga,Sukatendel
884,884/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105831/empty,Lau Tengguli,Tiganderket
885,885/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105833/empty,Lau Jering,Narigunung I
886,886/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105834/empty,Juma Pasar,Narigunung I
905,905/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105856/empty,Juma Talin Kuta,Kutagaluh
916,916/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105869/empty,Juma Batu,Temburun
917,917/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105870/empty,Juma Gugung,Temburun
919,919/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105872/empty,Juma Berneh,Susuk
940,940/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105897/empty,Lau Mangkok,Kutambaru
943,943/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105900/empty,Juma Selendi,Mardingding
944,944/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105901/empty,Juma Pulo,Mardingding
970,970/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105931/empty,Juma Jalang,Nangbelawan
1006,1006/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/114027/empty,Lau Sianak,Kandibata
1007,1007/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/114028/empty,Rudang Tani,Kandibata
1010,1010/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/114031/empty,Rembang Tengah,Kandibata
