no,image,situs,poktan,desa,bast,total,tanggal,ongkir
33,491/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104817/empty,Sabah Lama II,Lau Pengulu,8850000,9930000,07-11-2023,1080000
34,492/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104819/empty,Tobaka,Lau Pengulu,7670000,8606000,07-11-2023,936000
35,493/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104823/empty,Sepakat Jaya,Lau Pengulu,7670000,8606000,07-11-2023,936000
36,494/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104824/empty,Sue Arihta,Lau Pengulu,8850000,9930000,07-11-2023,1080000
37,495/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104827/empty,Simulih Karaben,Lau Pengulu,10325000,11585000,07-11-2023,1260000
38,496/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104829/empty,Sabah Lama I,Lau Pengulu,8850000,9930000,07-11-2023,1080000
39,497/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104831/empty,Nurul Iman,Lau Pengulu,9440000,10592000,07-11-2023,1152000
40,498/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104833/empty,Arih Ersada,Lau Pengulu,8850000,9930000,07-11-2023,1080000
41,499/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104835/empty,Muah Page,Lau Pengulu,7375000,8275000,07-11-2023,900000
42,500/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104837/empty,Harapan Jaya,Bandar Purba,7375000,8275000,07-11-2023,900000
43,501/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104839/empty,Gabe Naniula,Bandar Purba,8850000,9930000,07-11-2023,1080000
44,502/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104841/empty,Dalinta Rukur,Bandar Purba,9440000,10592000,07-11-2023,1152000
45,503/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104843/empty,Sabah Tengah,Bandar Purba,8850000,9930000,07-11-2023,1080000
46,504/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104845/empty,Sukses Tani,Bandar Purba,10030000,11254000,07-11-2023,1224000
47,505/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104847/empty,Usaha Bersama,Bandar Purba,8850000,9930000,07-11-2023,1080000
48,506/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104849/empty,Jaya Tani,Bandar Purba,8850000,9930000,07-11-2023,1080000
49,507/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104851/empty,Dostahi,Bandar Purba,10030000,11254000,07-11-2023,1224000
50,508/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104853/empty,Bunga Jadi Buah,Bandar Purba,9440000,10592000,07-11-2023,1152000
51,509/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104855/empty,Dosroha,Bandar Purba,10030000,11254000,07-11-2023,1224000
52,510/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104857/empty,Serasi,Bandar Purba,8850000,9930000,07-11-2023,1080000
53,511/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104859/empty,Sahata,Bandar Purba,10030000,11254000,07-11-2023,1224000
54,512/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104860/empty,Tunas Muda,Bandar Purba,10030000,11254000,07-11-2023,1224000
55,513/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104862/empty,Bandar Tani,Bandar Purba,7375000,8275000,07-11-2023,900000
56,514/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104864/empty,Serpang Simalem,Lau Kesumpat,8850000,9930000,07-11-2023,1080000
57,515/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104866/empty,Sawah Telko,Lau Kesumpat,7670000,8606000,07-11-2023,936000
58,516/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104868/empty,Sativa Tani,Lau Kesumpat,8260000,9268000,07-11-2023,1008000
59,517/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104870/empty,Lau Kasumpat,Lau Kesumpat,7080000,7944000,07-11-2023,864000
