no,situs,poktan,desa
316,https://mpo.psp.pertanian.go.id/v.5/pelaporan/88979/edit_distribusi?delegasiid=2481,Maju Jaya,Simarpinggan
317,https://mpo.psp.pertanian.go.id/v.5/pelaporan/88981/edit_distribusi?delegasiid=2481,Batang Salay,Simarpinggan
318,https://mpo.psp.pertanian.go.id/v.5/pelaporan/88983/edit_distribusi?delegasiid=2481,Sinar Makmur,Simarpinggan
319,https://mpo.psp.pertanian.go.id/v.5/pelaporan/88985/edit_distribusi?delegasiid=2481,Satahi Lombang,Siamporik Lombang
320,https://mpo.psp.pertanian.go.id/v.5/pelaporan/88986/edit_distribusi?delegasiid=2481,Satahi Dolok,Siamporik Dolok
321,https://mpo.psp.pertanian.go.id/v.5/pelaporan/88988/edit_distribusi?delegasiid=2481,Makmur,Situmbaga
322,https://mpo.psp.pertanian.go.id/v.5/pelaporan/88991/edit_distribusi?delegasiid=2481,Mardomu Roha,Sinyior
323,https://mpo.psp.pertanian.go.id/v.5/pelaporan/88993/edit_distribusi?delegasiid=2481,Makmur Jaya,Sinyior
324,https://mpo.psp.pertanian.go.id/v.5/pelaporan/88994/edit_distribusi?delegasiid=2481,Raptana,Sibong-bong
325,https://mpo.psp.pertanian.go.id/v.5/pelaporan/88995/edit_distribusi?delegasiid=2481,Roprini,Sibong-bong
326,https://mpo.psp.pertanian.go.id/v.5/pelaporan/88997/edit_distribusi?delegasiid=2481,Mekarsari,Sibong-bong
327,https://mpo.psp.pertanian.go.id/v.5/pelaporan/88999/edit_distribusi?delegasiid=2481,Bertani,Sihuik-huik
328,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89001/edit_distribusi?delegasiid=2481,Karya Sejahtera,Sihuik-huik
329,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89004/edit_distribusi?delegasiid=2481,Andalan,Sihuik-huik
330,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89005/edit_distribusi?delegasiid=2481,Saroha,Sihuik-huik
331,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89007/edit_distribusi?delegasiid=2481,Bahagia I,Sihopur
332,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89009/edit_distribusi?delegasiid=2481,Saroha,Tapian Nauli
333,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89010/edit_distribusi?delegasiid=2481,Segar,Tapian Nauli
334,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89012/edit_distribusi?delegasiid=2481,Sinar Mulia,Pardomuan
335,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89014/edit_distribusi?delegasiid=2481,Siondop Nauli,Pardomuan
336,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89016/edit_distribusi?delegasiid=2481,Siondop Lestari,Pardomuan
337,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89019/edit_distribusi?delegasiid=2481,Saroha Simaronop,Pardomuan
338,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89020/edit_distribusi?delegasiid=2481,Sikompak,Pardomuan
339,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89022/edit_distribusi?delegasiid=2481,Sarasi,Pardomuan
340,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89024/edit_distribusi?delegasiid=2481,Karya Serasi,Pardomuan
341,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89026/edit_distribusi?delegasiid=2481,Ikrar Bersma,Pardomuan
342,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89029/edit_distribusi?delegasiid=2481,Paraupan,Pardomuan
343,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89031/edit_distribusi?delegasiid=2481,Sempurna Makmur,Pardomuan
344,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89033/edit_distribusi?delegasiid=2481,Berdikari,Pardomuan
345,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89035/edit_distribusi?delegasiid=2481,Persaudaraan,Gunung Baringin
346,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89037/edit_distribusi?delegasiid=2481,Sialang Pardomuan,Gunung Baringin
347,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89040/edit_distribusi?delegasiid=2481,Bina Sejahtera,Gunung Baringin
348,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89042/edit_distribusi?delegasiid=2481,Putra Tani,Panobasan Lombang
349,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89043/edit_distribusi?delegasiid=2481,Putra Tani II,Panobasan Lombang
350,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89046/edit_distribusi?delegasiid=2481,Setia Usaha,Panobasan Lombang
351,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89048/edit_distribusi?delegasiid=2481,Sikompak,Panobasan Lombang
352,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89049/edit_distribusi?delegasiid=2481,Idios,Lembah Lubuk Raya
353,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89051/edit_distribusi?delegasiid=2481,Mawar,Lembah Lubuk Raya
354,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89053/edit_distribusi?delegasiid=2481,Marsada,Lembah Lubuk Raya
355,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89055/edit_distribusi?delegasiid=2481,Martabe,Simatorkis Sisoma
356,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89058/edit_distribusi?delegasiid=2481,Rap Olo,Simatorkis Sisoma
357,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89060/edit_distribusi?delegasiid=2481,Sepakat,Simatorkis Sisoma
358,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89062/edit_distribusi?delegasiid=2481,Bargot,Simatorkis Sisoma
359,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89063/edit_distribusi?delegasiid=2481,Tunas Baru,Simatorkis Sisoma
360,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89066/edit_distribusi?delegasiid=2481,Saroha,Sitinjak
361,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89069/edit_distribusi?delegasiid=2481,Serasi Terpadu,Sitinjak
362,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89072/edit_distribusi?delegasiid=2481,Tano Ponggol,Sitinjak
363,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89074/edit_distribusi?delegasiid=2481,Sepakat,Sitinjak
364,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89076/edit_distribusi?delegasiid=2481,Rap Ra,Sitinjak
365,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89079/edit_distribusi?delegasiid=2481,Berkah,Sitinjak
366,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89082/edit_distribusi?delegasiid=2481,Marsada,Sitinjak
367,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89084/edit_distribusi?delegasiid=2481,Satu Hati,Sibangkua
368,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89086/edit_distribusi?delegasiid=2481,Saroha,Sibangkua
369,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89088/edit_distribusi?delegasiid=2481,Danlatex,Sibangkua
370,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89090/edit_distribusi?delegasiid=2481,Bina Desa,Sibangkua
