no,no_bam,situs,poktan,desa
60,60/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79322/empty,Kamali,Kamali Pentalluan
61,61/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79323/empty,Milan,Kamali Pentalluan
62,62/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79324/empty,Maju Bersama,Kamali Pentalluan
63,63/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79326/empty,Sanginaa,Tampo Makale
64,64/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79328/empty,Usaha Agrobisnis Siguntu,Tampo Makale
65,65/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79330/empty,Rante Tampo,Tampo Makale
66,66/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79331/empty,Banne Marendeng,Tondon Mamullu
67,67/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79333/empty,KWT Batu Bungga,Lea
68,68/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79335/empty,KWT Rante Situru,Lea
69,69/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79336/empty,KWT Sikamali Babangan,Lea
70,70/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79337/empty,Lea Raya,Lea
71,71/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79338/empty,Rotani,Lea
72,72/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79341/empty,Suka Maju,Lea
73,73/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79342/empty,Taruna Tani,Lea
74,74/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79344/empty,Limbong,Buntu Burake
75,75/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79345/empty,Rante,Buntu Burake
76,76/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79346/empty,Sangkutu Banne,Buntu Burake
77,77/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79349/empty,Palipu,Lamunan
78,78/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79350/empty,Palli Permai,Lamunan
79,79/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79351/empty,Pama Sipaloloan,Lamunan
80,80/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79354/empty,Tongka Ka,Lamunan
81,81/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79356/empty,Melati,Ariang
82,82/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79357/empty,Siangkaran,Ariang
83,83/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79358/empty,Sikamali,Ariang
