no,no_bam,situs,poktan,desa
52,52/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75118/empty,Suka Mulia,Pulau Payung
53,53/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75119/empty,Usaha,Pulau Payung
54,54/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75120/empty,Sejahtera,Simpang Petai
55,55/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75121/empty,Baliok Imbo,Sawah
56,56/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75122/empty,Bonca Koyong,Sawah
57,57/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75123/empty,Pulau Indah,Sungai Jalau
58,58/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75124/empty,Bonca Ambai,Sawah
59,59/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75125/empty,Tanjung,Sawah
60,60/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75126/empty,Sadar,Sungai Tonang
61,61/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75127/empty,Seberang Danau,Naga Beralih
62,62/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75128/empty,Tali Utan,Naga Beralih
63,63/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75129/empty,Bonca Pauh,Muara Jalai
64,64/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75130/empty,Berkah,Sungai Jalau
65,65/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75131/empty,Sentosa Santul,Sungai Jalau
66,66/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75132/empty,Antarox,Naga Beralih
67,67/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75133/empty,Ubuo Mudiok,Sungai Tonang
68,68/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75134/empty,Kembang Melati II,Sendayan
69,69/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75135/empty,Kembang Melati,Sendayan
70,70/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75136/empty,Bonca Soing,Sendayan
71,71/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75137/empty,Berkat Mufakat,Sungai Jalau
