no,no_bam,situs,poktan,desa
419,419/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89384/empty,Harapan Jaya,Wek IV
425,425/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89390/empty,Aek Pahu,Napa
427,427/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89392/empty,Kwt Nusa Indah,Sumuran
429,429/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89394/empty,Maju Bersama,Sumuran
432,432/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89397/empty,Marsada I,Batu Hula
434,434/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89399/empty,Marsada III,Batu Hula
435,435/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89400/empty,Marsada Iv,Batu Hula
438,438/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89403/empty,Lobu Harambir,Aek Ngadol Sitinjak
439,439/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89404/empty,Nauli,Aek Ngadol Sitinjak
440,440/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89405/empty,Nusa Indah,Huta Godang
442,442/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89407/empty,Maradu Miduk,Huta Godang
445,445/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89410/empty,Sepakat,Garoga
447,447/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89413/empty,Harapan Jaya,Hutaraja
452,452/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89419/empty,Mekar Jaya,Muara Huta Raja
453,453/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89420/empty,Aek Mangambur,Muara Ampolu
455,455/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89422/empty,Rap Hita Jaya,Muara Manompas
457,457/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89425/empty,Mekar Abadi II,Hutaraja
