no,nomor,situs,poktan,data_kolom_tiga
83,83/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50825/empty,Sumber Tani,Kemirian
84,84/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50826/empty,Tani Makmur,Lumutan
85,85/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50827/empty,Rejeki Tani,Tamanan
86,86/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50828/empty,Tani Rejo,Sukosari
87,87/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50829/empty,Fajar Tani,Karang Melok
88,88/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50830/empty,Tani Sejahtera,Grujugan Lor
89,89/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50831/empty,Karya Tani Bersama,Padasan
90,90/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50832/empty,Darussholah,Jambesari
91,91/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50833/empty,Sumber Agung,Alas Sumur
92,92/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50834/empty,Podo Makmur,Pejagan
93,93/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50835/empty,Tani Maju,Maskuning Kulon
94,94/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50836/empty,Harapan,Pengarang
95,95/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50837/empty,Troto Maju,Trotosari
96,96/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50838/empty,Pelita Jaya,Sumberjeruk
97,97/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50839/empty,Pelopor Tani,Kembang
98,98/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50840/empty,Panca Karya,Jambeanom
99,99/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50841/empty,Permata,Jebung Kidul
100,100/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50842/empty,Sumber Rejeki,Pucanganom
101,101/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50843/empty,Gema Tani,Maskuning Wetan
102,102/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50844/empty,Setia Kawan,Suko Kerto
103,103/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50845/empty,Tani Makmur Jaya,Randu Cangkring
104,104/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50846/empty,Sulek Raya,Sulek
105,105/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50847/empty,Setia Jaya,Sukodono
