no,no_bam,situs,poktan,desa
136,136/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104588/empty,Karya Makmur,Gadungan
137,137/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104590/empty,Tani Rejeki,Temuwangi
138,138/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104592/empty,Tani Sempulur,Temuwangi
139,139/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104594/empty,Agung Rejeki,Beji
140,140/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104596/empty,Ngudi Rejeki,Beji
141,141/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104598/empty,Marsudi Raharjo,Ngaren
142,142/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104600/empty,Ngudi Mulyo,Ngaren
143,143/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104603/empty,Tani Makmur,Jetiswetan
144,144/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104605/empty,Ngudi Makmur,Jetiswetan
145,145/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104607/empty,Tani Mulyo,Jatimulyo
146,146/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104609/empty,Sido Mulyo,Jatimulyo
147,147/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104611/empty,Darma Tani,Keden
148,148/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104613/empty,Usaha Tani,Keden
149,149/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104615/empty,Karya Tani,Keden
150,150/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104617/empty,Among Tani,Bendo
151,151/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104619/empty,Among Tirto,Bendo
152,152/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104622/empty,Among Kismo,Bendo
153,153/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104623/empty,Sri Rejeki,Tambakboyo
154,154/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104626/empty,Sedyo Makmur,Tambakboyo
155,155/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104628/empty,Merdi Tani,Kedungan
156,156/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104630/empty,Tirto Moyo,Kedungan
