no,no_bam,situs,poktan,desa
82,82/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91934/empty,Mekar Jaya,Majakerta
83,83/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91935/empty,Tani Maju,Jojogan
84,84/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91936/empty,Maju Jaya,Jojogan
85,85/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91938/empty,Maju Sadar,Jojogan
86,86/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91939/empty,Mukti Sari,Jojogan
87,87/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91940/empty,Sido Makmur,Wisnu
88,88/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91942/empty,Mangli,Majalangu
89,89/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91943/empty,Sido Mukti,Majalangu
90,90/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91944/empty,Sido Makmur,Majalangu
91,91/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91945/empty,Kali Taman,Cawet
92,92/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91946/empty,Sipedang,Cawet
93,93/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91948/empty,Tani Makmur,Watukumpul
94,94/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91949/empty,Sido Dadi,Watukumpul
95,95/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91951/empty,Margalangu II,Watukumpul
96,96/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91952/empty,Sumber Rejeki,Bodas
97,97/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91953/empty,Kramat,Cawet
98,98/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91954/empty,Semi,Bongas
99,99/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91956/empty,Rukun Tani I,Medayu
100,100/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91957/empty,Lestari,Medayu
101,101/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91958/empty,Budi Lestari,Bodas
102,102/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91960/empty,Budi Rahayu Makmur,Bodas
103,103/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91961/empty,Bangun Karya,Bodas
104,104/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91962/empty,Tani Mandiri,Pendowo
105,105/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91963/empty,Jati Makmur,Jatiroyom
106,106/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91964/empty,Sumber Makmur,Jatiroyom
107,107/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91965/empty,Tani Harapan,Jatiroyom
108,108/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91966/empty,Puri Indah,Bodeh
109,109/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91967/empty,Tani Mulyo,Bodeh
110,110/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91968/empty,Mukti Jaya,Jatingarang
111,111/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91969/empty,Tani Sadar,Kelangdepok
112,112/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91970/empty,Tani Mantep,Kelangdepok
113,113/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91971/empty,Lumayan,Kelangdepok
114,114/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91972/empty,Sri Rejeki,Muncang
115,115/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91973/empty,Lestari,Muncang
