no,no_bam,situs,poktan,desa
153,153/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/80448/empty,Sapan,Sapan
154,154/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/80449/empty,Tanete,Kapolang
155,155/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/80450/empty,Kani,Kapolang
156,156/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/80451/empty,Barra'-Barra',Piongan
157,157/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/80452/empty,Sipatongan,Piongan
