no,no_bam,situs,poktan,desa
54,54/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104575/empty,Loh Jinawi,Ketonggo
55,55/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104577/empty,Tani Makmur,Koripan
56,56/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104579/empty,Wijoyo Makmur,Kunti
57,57/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104581/empty,Mukti Lestari,Kupuk
58,58/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104583/empty,Dewi Sri,Kwajon
59,59/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104585/empty,Rukun Makaryo,Munggu
60,60/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104587/empty,Nambak Makmur,Nambak
61,61/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104589/empty,Mawar,Padas
62,62/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104591/empty,Ngudi Mulyo,Pager
63,63/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104593/empty,Giri Karso,Pelem
64,64/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104595/empty,Catur Manunggal,Sambilawang
65,65/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104597/empty,Margo Rukun,Blembem
66,66/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104599/empty,Makmur Jaya,Bringinan
67,67/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104601/empty,Surya Tani,Bulu Lor
68,68/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104604/empty,Mulyo Sejahtera,Jambon
69,69/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104606/empty,Sido Makmur,Jonggol
70,70/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104608/empty,Mekar Jaya,Karanglo Kidul
71,71/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104610/empty,Tani Mulyo,Krebet
72,72/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104612/empty,Rukun Tani,Menang
73,73/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104614/empty,Harapan Makmur,Poko
74,74/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104616/empty,Manunggal Sari,Pulosari
75,75/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104618/empty,Sendang Makmur,Sendang
76,76/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104620/empty,Tekat Mandiri,Sidoharjo
77,77/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104621/empty,Argo Limo,Srandil
78,78/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104624/empty,Suko Mulyo,Jenangan
79,79/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104625/empty,Sumber Makmur,Jimbe
80,80/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104627/empty,Tani Maju,Mrican
81,81/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104629/empty,Rejeki Mulyo,Nglayang
82,82/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104631/empty,Suka Tani Subur,Ngrupit
83,83/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104633/empty,Kerto Makmur,Panjeng
84,84/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104636/empty,Gemah Ripah,Paringan
85,85/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104637/empty,Tani Mukti,Pintu
86,86/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104640/empty,Ngudi Makmur,Plalangan
87,87/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104642/empty,Sido Mukti,Sedah
88,88/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104644/empty,Sri Sedono Mulyo,Semanding
89,89/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104646/empty,Tirto Mulyo,Setono
90,90/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104648/empty,Mulyo Sari,Singosaren
91,91/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104650/empty,Karya Jaya,Sraten
92,92/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104652/empty,Harapan Makmur,Wates
