no,no,situs,poktan,desa,bast,file,ongkir
34,387/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79271/empty,Sangulele,Kole Palian,1475000,387.pdf,180000
35,388/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79272/empty,Sikamale,Kole Palian,1475000,388.pdf,180000
36,389/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79273/empty,Tambolag,Buttu Limbong,1475000,389.pdf,180000
37,390/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79274/empty,Kombo,Buttu Limbong,1475000,390.pdf,180000
38,391/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79275/empty,Limbong,Buttu Limbong,2950000,391.pdf,360000
39,392/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79276/empty,Koa,Buttu Limbong,2950000,392.pdf,360000
40,393/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79277/empty,Kampung Baru,Buttu Limbong,2950000,393.pdf,360000
41,394/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79278/empty,Limbong Barani,Buttu Limbong,2950000,394.pdf,360000
42,395/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79279/empty,Sikamali Pulio,Kandua',1475000,395.pdf,180000
43,396/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79280/empty,Ratte Dama,Kandua',1475000,396.pdf,180000
44,397/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79281/empty,Subur Jaya Dama,Kandua',1475000,397.pdf,180000
45,398/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79282/empty,Pa Kondo,Kandua',1475000,398.pdf,180000
46,399/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79283/empty,Saro Mase,Kandua',1475000,399.pdf,180000
47,400/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79284/empty,Mekar Danglu,Rante Kalua',2950000,400.pdf,360000
48,401/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79285/empty,Tondok Bangla,Rante Kalua',2950000,401.pdf,360000
49,402/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79286/empty,Ponian Jaya,Pa'tengko,5900000,402.pdf,720000
50,403/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79287/empty,Batu Menganga,Pa'tengko,5900000,403.pdf,720000
51,404/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79288/empty,Rante Dollok,Rante dada,14750000,404.pdf,1800000
52,405/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79289/empty,Manda Sirampun,Rante dada,4425000,405.pdf,540000
53,406/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79290/empty,Sangkederan,Tampo,7375000,406.pdf,900000
54,407/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79291/empty,Antam,Tampo,5900000,407.pdf,720000
55,408/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79292/empty,Rante Kesu',Tampo,7375000,408.pdf,900000
56,409/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79293/empty,Tanduk Bulan,Tampo,5900000,409.pdf,720000
57,410/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79294/empty,PGM Sipalamban,Simbuang,4425000,410.pdf,540000
58,411/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79295/empty,Siangkaran,Simbuang,5900000,411.pdf,720000
59,412/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79296/empty,Sipatuo Bangkailan,Simbuang,5900000,412.pdf,720000
60,413/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79297/empty,Madoke Siangkaran,Simbuang,5900000,413.pdf,720000
61,414/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79298/empty,Kalian Bersama,Simbuang,5900000,414.pdf,720000
62,415/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79299/empty,Sedanan,Simbuang,5900000,415.pdf,720000
63,416/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79300/empty,Padang Leme,Randanan,5900000,416.pdf,720000
64,417/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79301/empty,Malillin,Randanan,7375000,417.pdf,900000
65,418/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79302/empty,Imanuel Pakambuan,Tengan,5900000,418.pdf,720000
66,419/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79303/empty,Panada,Tengan,5900000,419.pdf,720000
