no,no,situs,poktan,desa,bast,file,ongkir
143,496/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79380/empty,Sipanundu,Tarongko,1770000,496.pdf,216000
144,497/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79381/empty,Siporannu,Tarongko,4425000,497.pdf,540000
145,498/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79382/empty,Todang,Tarongko,2950000,498.pdf,360000
146,499/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79383/empty,Siduruk Bala'ba,Tarongko,1475000,499.pdf,180000
147,500/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79384/empty,Sinar Palio,Tarongko,1475000,500.pdf,180000
148,501/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79385/empty,Rabek,Rante,2950000,501.pdf,360000
149,502/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79386/empty,Rantol,Rante,5900000,502.pdf,720000
150,503/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79387/empty,Sikamalik Mamabo,Rante,1475000,503.pdf,180000
151,504/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79388/empty,Harapan,Rante,8850000,504.pdf,1080000
152,505/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79389/empty,Tunas Bangsa,Rante,7375000,505.pdf,900000
153,506/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79390/empty,Rano,Rante,2950000,506.pdf,360000
154,507/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79391/empty,Parumbian Bangkit,Rante,1475000,507.pdf,180000
155,508/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79392/empty,Malimongan,Rante,5900000,508.pdf,720000
156,509/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79393/empty,Atom Permai,Batupapan,7375000,509.pdf,900000
157,510/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79394/empty,Kalolok Bersatu,Batupapan,7375000,510.pdf,900000
158,511/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79395/empty,Karapa,Batupapan,4425000,511.pdf,540000
159,512/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79396/empty,Sipanundu Kalolok,Batupapan,4425000,512.pdf,540000
160,513/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79397/empty,Sirannuan,Batupapan,4425000,513.pdf,540000
161,514/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79398/empty,Taruna Tani,Batupapan,7375000,514.pdf,900000
162,515/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79399/empty,Tangnga Tondok,Batualu Selatan,8850000,515.pdf,1080000
163,516/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79400/empty,Tamporan,Batualu Selatan,9145000,516.pdf,1116000
164,517/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79401/empty,Pakepakan,Batualu Selatan,8260000,517.pdf,1008000
165,518/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79402/empty,Kendenan,Batualu Selatan,3540000,518.pdf,432000
166,519/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79403/empty,Katapi,Batualu Selatan,5900000,519.pdf,720000
168,521/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79405/empty,Burau Tarrak,Batualu Selatan,5015000,521.pdf,612000
171,524/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79408/empty,To'batata,Batualu Selatan,5900000,524.pdf,720000
173,526/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79410/empty,Tumbubara,Batualu,4130000,526.pdf,504000
175,528/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79412/empty,Batualu Pasang,Batualu,5605000,528.pdf,684000
176,529/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79413/empty,Bamba,Batualu,5900000,529.pdf,720000
177,530/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79414/empty,"AA, Bamba",Batualu,4425000,530.pdf,540000
178,531/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79415/empty,Makula Siendekan,Tokesan,5605000,531.pdf,684000
180,533/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79417/empty,Sullukan,Tokesan,6195000,533.pdf,756000
181,534/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79418/empty,Sipanundu,Tokesan,5015000,534.pdf,612000
182,535/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79419/empty,Siporannu,Tokesan,8850000,535.pdf,1080000
183,536/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79420/empty,Ra'pa,Tokesan,5015000,536.pdf,612000
184,537/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79421/empty,Perang,Tokesan,5605000,537.pdf,684000
186,539/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79423/empty,Kambelangi',Tokesan,5015000,539.pdf,612000
187,540/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79424/empty,Buntu Tokesan,Tokesan,4425000,540.pdf,540000
188,541/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79425/empty,Lengke,Raru Sibunuan,4425000,541.pdf,540000
189,542/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79426/empty,Situru,Raru Sibunuan,8555000,542.pdf,1044000
190,543/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79427/empty,Sipaele,Raru Sibunuan,5015000,543.pdf,612000
193,546/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79430/empty,Mitra Sejahtera,Raru Sibunuan,16225000,546.pdf,1980000
194,547/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79431/empty,"KTH, Mentiro Tiku, T",Raru Sibunuan,5900000,547.pdf,720000
195,548/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79432/empty,Kombong,Raru Sibunuan,5310000,548.pdf,648000
196,549/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79433/empty,Buntu Asin,Raru Sibunuan,5015000,549.pdf,612000
197,550/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79434/empty,Siangkaran,Rante Alang,5605000,550.pdf,684000
198,551/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79435/empty,Kondo,Rante Alang,5015000,551.pdf,612000
199,552/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79436/empty,Kamiri,Rante Alang,6785000,552.pdf,828000
201,554/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79438/empty,Batakan Siolanan,Rante Alang,5605000,554.pdf,684000
203,556/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79440/empty,Garuda,Saluallo,5015000,556.pdf,612000
204,557/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79441/empty,Segitiga Emas,Saluallo,5900000,557.pdf,720000
205,558/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79442/empty,Makkareso,Madandan,5900000,558.pdf,720000
206,559/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79443/empty,Sanik,Balepe',7375000,559.pdf,900000
207,560/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79444/empty,Rumpun Petani Leppan,Leppan,7375000,560.pdf,900000
208,561/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79445/empty,Situnduan Matangli,Leppan,7375000,561.pdf,900000
209,562/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79446/empty,Siangkaran,Leppan,7375000,562.pdf,900000
210,563/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79447/empty,Sangina,Lemo Menduruk,7375000,563.pdf,900000
211,564/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79448/empty,Kanan Datu,Lemo Menduruk,7375000,564.pdf,900000
212,565/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79449/empty,Sabara,Lemo Menduruk,8850000,565.pdf,1080000
213,566/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79450/empty,Sanglombokan,Lemo Menduruk,7375000,566.pdf,900000
214,567/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79451/empty,Salu Silullung,Malimbong,7375000,567.pdf,900000
215,568/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79452/empty,Bulan,Malimbong,7375000,568.pdf,900000
216,569/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79453/empty,Sollongan,Malimbong,7375000,569.pdf,900000
217,570/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79454/empty,Bidoko,Kole Sawangan,8850000,570.pdf,1080000
218,571/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79455/empty,Supate Solo,Kole Sawangan,7375000,571.pdf,900000
219,572/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79456/empty,Sangayoka Tallumanuk,Kole Sawangan,7375000,572.pdf,900000
220,573/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79457/empty,Kole,Kole Sawangan,8850000,573.pdf,1080000
221,574/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79458/empty,Tondon Sapan,Kole Barebatu,7375000,574.pdf,900000
222,575/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79459/empty,Liku Lepong,Kole Barebatu,8850000,575.pdf,1080000
223,576/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79460/empty,Kwt Harapan,Kole Barebatu,2950000,576.pdf,360000
224,577/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79461/empty,Tallu Bulinna,Kole Barebatu,8850000,577.pdf,1080000
225,578/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79462/empty,Pa'tondokan,Kole Barebatu,8850000,578.pdf,1080000
226,579/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79463/empty,Salempanna,Lion Tondok Iring,4425000,579.pdf,540000
