no,image,situs,poktan,desa,bast,bast_file
591,2059,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81509/empty,Usaha Sri Makmur,Sidoharjo,12685000,2059
592,2060,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81510/empty,Harapan Mukti,Sidoharjo,6490000,2060
593,2061,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81512/empty,Sinar Tani,Sidoharjo,23305000,2061
594,2062,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81513/empty,Jaya Bersama,Sidoharjo,16815000,2062
595,2063,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81514/empty,Jadi Mekar,Sidoharjo,14455000,2063
596,2064,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81516/empty,Marga Rahayu,Sidoharjo,12390000,2064
597,2065,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81517/empty,Sumber Rejeki,Bintaran,16815000,2065
598,2066,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81518/empty,Tani Maju,Bintaran,17110000,2066
599,2067,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81520/empty,Sugih Waras,Bintaran,16225000,2067
600,2068,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81521/empty,Agung Bakti,Bintaran,16225000,2068
601,2069,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81522/empty,Margo Mulyo,Bintaran,14160000,2069
602,2070,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81524/empty,Sugi Raharjo,Bintaran,16520000,2070
603,2071,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81525/empty,Mukti Jaya,Bintaran,14750000,2071
604,2072,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81526/empty,Harapan Jaya,Bintaran,15340000,2072
605,2073,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81528/empty,Tani Jaya,Bintaran,17700000,2073
606,2074,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81529/empty,Jaya Bersama,Bintaran,18142500,2074
607,2075,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81530/empty,Bersatu Maju A,Bintaran,13422500,2075
608,2076,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81531/empty,Sri Makmur,Bintaran,13865000,2076
609,2077,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81533/empty,Bersatu Maju B,Bintaran,14160000,2077
610,2078,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81534/empty,Karya Makmur,Bintaran,17700000,2078
611,2079,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81535/empty,Lumbung Agung B,Bintaran,12390000,2079
612,2080,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81536/empty,Karya Usaha,Bintaran,17700000,2080
613,2081,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81537/empty,Usaha Bersama,Bintaran,20650000,2081
614,2082,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81538/empty,Usaha Tani,Bintaran,20650000,2082
615,2083,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81540/empty,Sumber Agung,Saleh Agung,18585000,2083
616,2084,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81541/empty,Sido Makmur,Saleh Agung,14160000,2084
617,2085,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81543/empty,Sido Dadi,Saleh Agung,17405000,2085
618,2086,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81544/empty,Karya Mulya,Saleh Agung,19175000,2086
619,2087,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81545/empty,Subur Makmur,Saleh Agung,17700000,2087
620,2088,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81546/empty,Tani Jaya,Saleh Agung,17110000,2088
621,2089,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81547/empty,Panca Mulya,Saleh Agung,17995000,2089
622,2090,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81548/empty,Karya Indah,Saleh Agung,15635000,2090
623,2091,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81549/empty,Sumber Rahayu,Saleh Agung,15635000,2091
624,2092,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81551/empty,Karya Bakti,Saleh Agung,26550000,2092
625,2093,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81552/empty,Sido Mukti A,Enggal Rejo,10325000,2093
626,2094,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81554/empty,Sido Mukti B,Enggal Rejo,10325000,2094
627,2095,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81555/empty,Sido Mulyo A,Enggal Rejo,8555000,2095
628,2096,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81556/empty,Sido Subur A,Enggal Rejo,8260000,2096
629,2097,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81558/empty,Sido Subur B,Enggal Rejo,11800000,2097
630,2098,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81559/empty,Sido Makmur A,Enggal Rejo,11210000,2098
631,2099,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81560/empty,Sido Makmur B,Enggal Rejo,10915000,2099
632,2100,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81561/empty,Sido Luhur A,Enggal Rejo,12095000,2100
633,2101,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81562/empty,Sido Luhur B,Enggal Rejo,11505000,2101
634,2102,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81563/empty,Suko Maju A,Enggal Rejo,11800000,2102
635,2103,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81564/empty,Suko Maju B,Enggal Rejo,11800000,2103
636,2104,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81565/empty,Batur Selembur A,Enggal Rejo,14750000,2104
637,2105,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81569/empty,Batur Selembur B,Enggal Rejo,12980000,2105
638,2106,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81570/empty,Sumber Usaha B,Enggal Rejo,8850000,2106
639,2107,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81572/empty,Suka Maju,Saleh Mukti,14455000,2107
640,2108,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81573/empty,Suka Makmur A,Saleh Mukti,7670000,2108
641,2109,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81574/empty,Suka Makmur B,Saleh Mukti,8850000,2109
642,2110,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81575/empty,Sumber Jaya,Saleh Mukti,16520000,2110
643,2111,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81576/empty,Srijaya A,Saleh Mukti,13570000,2111
644,2112,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81577/empty,Harapan Jaya B,Saleh Mukti,7375000,2112
645,2113,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81578/empty,Tani Mukti B,Saleh Mukti,7080000,2113
646,2114,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81579/empty,Margo Mulya,Saleh Mukti,17700000,2114
647,2115,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81580/empty,Tani Luhur,Saleh Mukti,14160000,2115
648,2116,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81581/empty,Sendang Rejeki A,Saleh Mukti,8850000,2116
649,2117,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81582/empty,Sendang Rejeki B,Saleh Mukti,10030000,2117
650,2118,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81583/empty,Tani Mulyo,Saleh Mukti,13865000,2118
651,2119,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81584/empty,Sido Dadi,Saleh Mukti,8555000,2119
652,2120,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81585/empty,Tani Mukti A,Saleh Mukti,9440000,2120
653,2121,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81586/empty,Tani Makmur,Saleh Mukti,13275000,2121
654,2122,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81587/empty,Harapan Jaya,Saleh Mukti,7375000,2122
655,2123,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81588/empty,Sri Jaya B,Saleh Mukti,7670000,2123
656,2124,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81589/empty,Sri Rejeki B,Saleh Mukti,8555000,2124
657,2125,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81590/empty,Ngudi Makmur,Saleh Jaya,14750000,2125
658,2126,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81591/empty,Tani Mulya,Saleh Jaya,14750000,2126
659,2127,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81592/empty,Karya Daya Guna A,Saleh Makmur,9145000,2127
660,2128,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81593/empty,Karya Daya Guna B,Saleh Makmur,6195000,2128
661,2129,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81595/empty,Karya Tani A,Saleh Makmur,6490000,2129
662,2130,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81596/empty,Karya Tani B,Saleh Makmur,5162500,2130
663,2131,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81597/empty,Krida Tani A,Saleh Makmur,7965000,2131
664,2132,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81598/empty,Krida Tani B,Saleh Makmur,5900000,2132
665,2133,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81599/empty,Usaha Baru A,Saleh Makmur,5310000,2133
666,2134,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81601/empty,Usaha Baru B,Saleh Makmur,6195000,2134
667,2135,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81602/empty,Usaha Tani B,Saleh Makmur,7670000,2135
668,2136,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81604/empty,Taruna Tani A,Saleh Makmur,8260000,2136
669,2137,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81605/empty,Taruna Tani B,Saleh Makmur,5605000,2137
670,2138,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81607/empty,Mekar Sari A,Saleh Makmur,6932500,2138
671,2139,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81608/empty,Mekar Sari B,Saleh Makmur,14012500,2139
672,2140,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81610/empty,Tunas Muda A,Saleh Makmur,12685000,2140
673,2141,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81611/empty,Tunas Muda B,Saleh Makmur,9145000,2141
674,2142,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81612/empty,Karya Bakti,Sri Mulyo,15340000,2142
675,2143,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81614/empty,Karya Makmur,Sri Mulyo,14455000,2143
676,2144,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81615/empty,Karya Tani,Sri Mulyo,17110000,2144
677,2145,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81616/empty,Margo Mulyo,Sri Mulyo,7080000,2145
678,2146,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81618/empty,Margo Tani A,Sri Mulyo,7670000,2146
679,2147,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81619/empty,Margo Tani B,Sri Mulyo,10620000,2147
680,2148,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81620/empty,Mukti Tama,Sri Mulyo,14160000,2148
681,2149,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81621/empty,Sumber Makmur,Sri Mulyo,17110000,2149
682,2150,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81622/empty,Sumber Rejeki,Sri Mulyo,5900000,2150
683,2151,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81623/empty,Tani Maju,Sri Mulyo,5015000,2151
684,2152,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81624/empty,Tani Mulyo,Sri Mulyo,9735000,2152
685,2153,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81625/empty,Tani Rukun,Sri Mulyo,5900000,2153
686,2154,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81626/empty,Usaha Tani,Sri Mulyo,17700000,2154
687,2155,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81628/empty,Sri Rejeki,Srikaton,10030000,2155
688,3809,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81629/empty,Amor,Srikaton,7375000,3809
689,3810,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81630/empty,Handayani,Srikaton,10030000,3810
690,3811,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81632/empty,Harapan Mukri,Srikaton,14160000,3811
691,3812,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81634/empty,Muda Mandiri,Srikaton,2950000,3812
692,3813,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81635/empty,Rukun Tani,Srikaton,7965000,3813
693,3814,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81636/empty,Setia Kawan,Srikaton,10030000,3814
694,3815,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81638/empty,Sido Dadi,Srikaton,9735000,3815
695,3816,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81639/empty,Sido Mulyo,Srikaton,9292500,3816
696,3817,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81640/empty,Sri Murni,Srikaton,8260000,3817
697,3818,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81642/empty,Tani Sejahtera,Srikaton,4425000,3818
698,3819,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81643/empty,Urip Utomo,Srikaton,9440000,3819
699,3820,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81645/empty,Rukun Tani,Ujung Tanjung,59000000,3820
