no,image,situs,poktan,desa,bast,bast_file
424,1892,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81318/empty,Harapan Jaya,Beringin Agung,14750000,1892
425,1893,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81319/empty,Makaryo Mukti,Beringin Agung,18880000,1893
426,1894,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81320/empty,Margo Rukun,Beringin Agung,18880000,1894
427,1895,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81321/empty,Margo Utomo,Beringin Agung,5900000,1895
428,1896,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81322/empty,Mekar Jaya,Beringin Agung,7080000,1896
429,1897,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81323/empty,Mulyo Dadi,Beringin Agung,7080000,1897
430,1898,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81324/empty,Rukun Santoso,Beringin Agung,6490000,1898
431,1899,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81325/empty,Sri Rejeki,Beringin Agung,8260000,1899
432,1900,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81326/empty,Sumber Makmur,Beringin Agung,14160000,1900
433,1901,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81327/empty,Sumber Tani,Beringin Agung,18880000,1901
434,1902,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81328/empty,Tani Maju,Beringin Agung,10620000,1902
435,1903,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81329/empty,Tani Mulyo,Beringin Agung,15930000,1903
436,1904,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81330/empty,Margo Rukun,Tirta Mulya,7080000,1904
437,1905,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81331/empty,Rukun Usaha,Tirta Mulya,6490000,1905
438,1906,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81332/empty,Sri Handayani,Tirta Mulya,5310000,1906
439,1907,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81333/empty,Tirta Kencana,Tirta Mulya,4720000,1907
440,1908,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81334/empty,Sri Munggul,Tirta Mulya,4720000,1908
441,1909,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81335/empty,Ranca Karya,Telang Makmur,11800000,1909
442,1910,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81336/empty,Sederhana,Telang Makmur,11800000,1910
443,1911,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81337/empty,Sri Mulih,Telang Makmur,8850000,1911
444,1912,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81338/empty,Swakarsa,Telang Makmur,8850000,1912
445,1913,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81339/empty,Suko Madyo,Telang Makmur,10325000,1913
446,1914,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81340/empty,Rukun Makmur,Telang Makmur,11800000,1914
447,1915,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81341/empty,Sumber Waras,Telang Makmur,7375000,1915
448,1916,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81342/empty,Ayem,Telang Makmur,7375000,1916
449,1917,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81343/empty,Mulya Tani,Telang Makmur,14750000,1917
450,1918,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81344/empty,Sumber Harapan,Telang Makmur,14455000,1918
451,1919,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81345/empty,Margo Rahayu,Telang Makmur,14455000,1919
452,1920,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81346/empty,Budi Martani,Telang Makmur,14455000,1920
