no,no_bam,situs,poktan,desa,bast
49,49/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88622/empty,Bersatu,Janji Manaon,6785000
50,50/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88623/empty,Bangun,Janji Manaon,7080000
51,51/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88624/empty,Cinta Makmur,Pintu Padang I,7080000
52,52/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88625/empty,Aek Gongonan,Pintu Padang I,5900000
53,53/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88626/empty,Setia Kawan,Pintu Padang I,7080000
54,54/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88627/empty,Samora,Pintu Padang I,3835000
55,55/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88628/empty,Cinta Tani,Pintu Padang I,5900000
56,56/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88629/empty,Oryzae,Benteng Huraba,7375000
57,57/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88630/empty,Kastel,Benteng Huraba,5900000
58,58/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88631/empty,Melati,Benteng Huraba,4425000
59,59/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88632/empty,Satahi,Benteng Huraba,7375000
60,60/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88633/empty,Serasi Bersatu,Benteng Huraba,7375000
61,61/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88634/empty,Saroha,Aek Nauli,5900000
62,62/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88635/empty,Simitcak Jaya,Aek Nauli,5900000
63,63/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88636/empty,Sahata,Aek Gunung,4130000
64,64/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88637/empty,Kwt Melati,Aek Gunung,4425000
65,65/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88638/empty,Marsada,Aek Gunung,4425000
66,66/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88639/empty,Sinondang Bulan,Sorik,4720000
67,67/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88640/empty,Aek Rogas,Sorik,3540000
68,68/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88641/empty,Sirara,Sorik,5900000
69,69/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88642/empty,Suka Dame,Pasar Lama,7375000
70,70/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88643/empty,Horas,Pasar Lama,7375000
71,71/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88644/empty,Kompak Mandiri,Pasar Lama,5605000
72,72/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88645/empty,Tor Simitcak,Aek Gunung,4425000
73,73/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88646/empty,Lamtama,Aek Gunung,2950000
74,74/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88647/empty,Kwt Ganda Hasil,Bangun Purba,4425000
75,75/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88648/empty,Horas,Bangun Purba,5015000
76,76/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88649/empty,Saroha,Bangun Purba,5900000
77,77/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88650/empty,Mekar,Bangun Purba,5015000
78,78/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88651/empty,Marsada,Bangun Purba,5310000
79,79/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88652/empty,Sempurna,Bangun Purba,5900000
80,80/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88653/empty,Dosroha,Bangun Purba,5015000
81,81/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88654/empty,Berkat,Sigulang Losung,5900000
82,82/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88655/empty,Maju Bersama,Sigulang Losung,5900000
83,83/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88656/empty,Pardomuan,Pargumbangan,4130000
84,84/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88657/empty,Marsada,Pargumbangan,5900000
85,85/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88658/empty,Satahi,Pargumbangan,4425000
86,86/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88659/empty,Sejahtera,Pargumbangan,4130000
87,87/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88660/empty,Siala Sampagul,Pargumbangan,3540000
88,88/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88661/empty,Marsada,Bintuju,4425000
89,89/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88662/empty,Tenang,Bintuju,4720000
90,90/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88663/empty,Kwt Seirama,Bintuju,4425000
91,91/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88664/empty,Kwt Suka Dame,Bintuju,4425000
92,92/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88665/empty,Mandiri Jaya,Bintuju,3540000
93,93/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88666/empty,Harapan Maju,Bintuju,4720000
94,94/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88667/empty,Bersatu,Muara Tais II,7375000
95,95/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88668/empty,Harapan Maju,Muara Tais II,7375000
96,96/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88669/empty,Kwt Desa Maju,Muara Tais II,5900000
97,97/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88670/empty,Melati,Muara Tais I,8850000
98,98/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88671/empty,Raprim,Muara Tais I,5310000
99,99/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88672/empty,Kwt Dahlia,Muara Tais I,3835000
100,100/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88673/empty,Bersama,Muara Tais III,4720000
101,101/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88674/empty,Harapan,Muara Tais III,4130000
102,102/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88675/empty,Kwt Seroja,Muara Tais III,3245000
103,103/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88676/empty,Suka Rela I,Janji Mauli MT,2950000
104,104/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88677/empty,Suka Rela II,Janji Mauli MT,4425000
105,105/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88678/empty,Makmur,Muara Purba Nauli,8260000
106,106/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88679/empty,Kwt Satahi,Muara Purba Nauli,7670000
107,107/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88680/empty,Saroha,Muara Purba Nauli,8260000
