no,No,situs,poktan,desa,bast,bast_file,total
47,1515,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80838/empty,Pancaran Tani,Sungsang II,15930000,1515,17874000
48,1516,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80839/empty,Harapan Baru,Sungsang II,20060000,1516,22508000
49,1517,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80841/empty,Surya Tani,Sungsang II,26550000,1517,29790000
50,1518,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80842/empty,Maju Bersama,Sungsang II,23600000,1518,26480000
51,1519,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80843/empty,Ngundi Makmur,Sungsang II,17700000,1519,19860000
52,1520,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80844/empty,Karya Tani,Sungsang II,15930000,1520,17874000
53,1521,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80846/empty,Marga Jaya,Sungsang II,10030000,1521,11254000
54,1522,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80847/empty,Putra Ogan I,Sungsang II,11505000,1522,12909000
55,1523,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80848/empty,Putra Ogan II,Sungsang II,7080000,1523,7944000
56,1524,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80849/empty,Cahaya Tani,Sungsang II,15340000,1524,17212000
57,1525,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80850/empty,Cahaya Maju,Sungsang II,16520000,1525,18536000
58,1526,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80851/empty,Cahaya Baru,Sungsang II,15045000,1526,16881000
59,1527,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80853/empty,Barokah,Rimau Sungsang,8555000,1527,9599000
60,1528,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80854/empty,Doa Besama,Rimau Sungsang,8555000,1528,9599000
61,1529,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80855/empty,Doanna Aresso Tani,Rimau Sungsang,8407500,1529,9433500
62,1530,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80856/empty,Gelam Gelam Sejahtera,Rimau Sungsang,8260000,1530,9268000
63,1531,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80858/empty,Harapan Baru,Rimau Sungsang,8260000,1531,9268000
64,1532,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80859/empty,Hidup Bersama,Rimau Sungsang,8555000,1532,9599000
65,1533,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80861/empty,Idi Manneng,Rimau Sungsang,8555000,1533,9599000
66,1534,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80862/empty,Jaya Makmur I,Rimau Sungsang,8555000,1534,9599000
67,1535,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80863/empty,Jaya Suma,Rimau Sungsang,8555000,1535,9599000
68,1536,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80864/empty,Karya Jaya,Rimau Sungsang,7375000,1536,8275000
69,1537,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80866/empty,Karya Tani Sejahtera,Rimau Sungsang,8260000,1537,9268000
70,1538,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80867/empty,Makmur Jaya,Rimau Sungsang,8260000,1538,9268000
71,1539,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80868/empty,Marga Tani,Rimau Sungsang,7080000,1539,7944000
72,1540,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80871/empty,Mitra Tani,Rimau Sungsang,8260000,1540,9268000
