no,No,situs,poktan,desa,bast
221,2852,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90801/empty,Loh Jinawee,Bulusari,5900000
222,2853,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90802/empty,Gemah Ripah,Bulusari,5900000
223,2854,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90803/empty,Tani Subur,Bulusari,7375000
224,2855,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90804/empty,Sri Rejeki,Gandrungmanis,5900000
225,2856,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90805/empty,Tani Makmur,Gandrungmanis,5900000
226,2857,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90806/empty,Ngesti Raharjo,Wringinharjo,7375000
227,2858,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90807/empty,Ngudi Raharjo,Wringinharjo,5900000
228,2859,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90808/empty,Maju Makmur,Wringinharjo,7375000
229,2860,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90809/empty,Karya Tani,Wringinharjo,5900000
230,2861,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90810/empty,Sri Rejeki,Karanganyar,5900000
231,2862,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90811/empty,Sumber Makmur Cideng Karanganyar,Karanganyar,5900000
232,2863,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90812/empty,Mekar Sari,Muktisari,7375000
233,2864,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90813/empty,Ben Maju Bareng,Muktisari,7375000
234,2865,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90814/empty,Rukun Jaya,Gintungreja,7375000
235,2866,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90815/empty,Sembada Lestari,Gintungreja,10325000
236,2867,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90816/empty,Sido Maju,Kertajaya,10325000
237,2868,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90817/empty,Ngudi Makmur,Karanggintung,5015000
238,2869,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90818/empty,Karya Mantep,Karanggintung,7670000
239,2870,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90819/empty,Tani Maju,Karanggintung,5015000
240,2871,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90820/empty,Tani Jaya,Rungkang,5900000
241,2872,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90821/empty,Sumber Rejeki,Rungkang,5900000
242,2873,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90822/empty,Gebangan,Sikampuh,4425000
243,2874,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90823/empty,Marsuditama,Sikampuh,7375000
244,2875,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90824/empty,Karya Bakti,Sikampuh,7375000
245,2876,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90825/empty,Sumber Makmur,Sikampuh,4425000
246,2877,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90826/empty,Logawa,Sikampuh,6490000
247,2878,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90828/empty,Sri Utama,Sikampuh,6490000
248,2879,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90829/empty,Sri Lestari,Sikampuh,5015000
249,2880,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90830/empty,Ngudi Rahayu,Sikampuh,4425000
250,2881,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90831/empty,Mugi Lestari,Sikampuh,4425000
251,2882,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90832/empty,Sri Rahayu,Sikampuh,4425000
252,2883,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90833/empty,Nusa Klewih,Sikampuh,4425000
253,2884,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90834/empty,Nusa Jambu,Sikampuh,4425000
254,2885,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90835/empty,Sumber Rejeki,Sikampuh,4425000
255,2886,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90836/empty,Trubus Jaya,Sikampuh,5900000
256,2887,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90837/empty,Makmur Sentosa,Sikampuh,4425000
257,2888,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90838/empty,Toto Raharjo,Karangturi,4425000
258,2889,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90839/empty,Agung Surya,Karangturi,5900000
259,2890,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90840/empty,Sumber Rejeki,Ayamalas,7375000
260,2891,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90841/empty,Sri Rahayu,Ayamalas,7375000
261,2892,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90842/empty,Sumber Makmur,Ayamalas,7375000
262,2893,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90843/empty,Sri Mulyo,Pucung Kidul,6490000
263,2894,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90844/empty,Dewi Sri,Pucung Kidul,5015000
264,2895,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90845/empty,Tani Jaya,Pucung Kidul,4425000
265,2896,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90846/empty,Sri Rejeki,Pucung Kidul,4425000
266,2897,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90847/empty,Sri Handayani I,Pucung Kidul,4425000
267,2898,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90848/empty,Sri Handayani II,Pucung Kidul,4425000
268,2899,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90849/empty,Sri Handayani III,Pucung Kidul,4425000
269,2900,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90850/empty,Sri Lestari I,Pucung Kidul,4425000
270,2901,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90851/empty,Sri Lestari II,Pucung Kidul,4425000
271,2902,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90852/empty,Sri Lestari III,Pucung Kidul,4425000
272,2903,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90853/empty,Tani Sejahtera,Pucung Kidul,4425000
273,2904,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90854/empty,Tunas Jaya,Mergawati,4425000
274,2905,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90855/empty,Sri Rahayu,Mergawati,4425000
275,2906,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90856/empty,Tani Maju,Mergawati,6490000
276,2907,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90857/empty,Tani Murni,Mergawati,6490000
277,2908,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90858/empty,Sida Makmur,Mergawati,6490000
278,2909,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90859/empty,Sri Tunggal,Pucung Lor,6490000
279,2910,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90860/empty,Sri Katon,Pucung Lor,6490000
280,2911,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90861/empty,Tani Maju,Pucung Lor,6490000
281,2912,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90862/empty,Banyu Mili,Pucung Lor,6490000
282,2913,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90863/empty,Berkah Tani,Pucung Lor,5900000
283,2914,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90864/empty,Sri Lestari,Bajing,5900000
284,2915,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90865/empty,Sri Rejeki,Kroya,5900000
285,2916,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90866/empty,Sri Dadi,Kroya,5900000
286,2917,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90867/empty,Sri Lestari,Kroya,5900000
287,2918,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90868/empty,Tirtonadi,Pesanggrahan,5900000
288,2919,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90869/empty,Sri Rahayu,Pesanggrahan,5900000
289,2920,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90870/empty,Sari Wangsa,Pesanggrahan,5900000
290,2921,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90871/empty,Candra Kesuma,Pesanggrahan,5900000
291,2922,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90872/empty,Wira Tani,Bajing Kulon,5900000
292,2923,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90873/empty,Maju Lestari,Bajing Kulon,5900000
293,2924,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90874/empty,Sri Rejeki,Kedawung,5900000
294,2925,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90875/empty,Karya Bakti,Kedawung,5900000
295,2926,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90876/empty,Karya Mukti,Kedawung,5900000
296,2927,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90877/empty,Lembu Jaya,Kedawung,4130000
297,2928,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90878/empty,Bumi Makmur,Mujur,4130000
298,2929,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90879/empty,Tani Mulya,Mujur,4130000
299,2930,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90880/empty,Tani Karya,Mujur,4130000
300,2931,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90881/empty,Kolong Makmur,Mujur,4130000
301,2932,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90882/empty,Budi Santoso,Gentasari,4130000
302,2933,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90883/empty,Tani Jaya,Gentasari,4130000
303,2934,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90884/empty,Budi Rahayu,Gentasari,4425000
304,2935,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90885/empty,Dewi Sri,Gentasari,4425000
305,2936,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90886/empty,Budi Utomo,Gentasari,4425000
306,2937,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90887/empty,Tani Mulia,Gentasari,4425000
307,2938,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90888/empty,Budi Mulia,Gentasari,4425000
308,2939,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90889/empty,Rukun Tani,Gentasari,4425000
309,2940,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90890/empty,Harapan,Mujur Lor,4425000
310,2941,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90891/empty,Rawa Galih,Mujur Lor,4425000
311,2942,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90892/empty,Rawa Kele,Mujur Lor,4425000
312,2943,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90893/empty,Pejarangan,Mujur Lor,4425000
313,2944,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90894/empty,Siwaja,Mujur Lor,4425000
314,2945,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90895/empty,Ngudi Rahayu,Buntu,4425000
315,2946,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90896/empty,Ampel,Buntu,4425000
316,2947,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90897/empty,Sri Kencana,Buntu,4425000
317,2948,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90898/empty,Teratai,Buntu,4425000
