no,no_bam,situs,poktan,desa,bast,bast_file,ongkir,tanggal
111,464/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79348/empty,Lempangan,Lamunan,2950000,464.jpg,360000,11-10-2023
112,465/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79349/empty,Palipu,Lamunan,2950000,465.jpg,360000,11-10-2023
113,466/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79350/empty,Palli Permai,Lamunan,2950000,466.jpg,360000,11-10-2023
114,467/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79351/empty,Pama Sipaloloan,Lamunan,1475000,467.jpg,180000,11-10-2023
115,468/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79352/empty,Tanete,Lamunan,2950000,468.jpg,360000,11-10-2023
116,469/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79353/empty,Tedong Batu,Lamunan,2950000,469.jpg,360000,11-10-2023
117,470/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79354/empty,Tongka Ka,Lamunan,2950000,470.jpg,360000,11-10-2023
118,471/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79355/empty,Tunas Jaya,Lamunan,2950000,471.jpg,360000,11-10-2023
119,472/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79356/empty,Melati,Ariang,1475000,472.jpg,180000,11-10-2023
120,473/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79357/empty,Siangkaran,Ariang,1475000,473.jpg,180000,11-10-2023
121,474/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79358/empty,Sikamali,Ariang,1475000,474.jpg,180000,11-10-2023
122,475/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79359/empty,Siporannu,Ariang,1475000,475.jpg,180000,11-10-2023
123,476/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79360/empty,Sitiroanan,Ariang,1475000,476.jpg,180000,11-10-2023
124,477/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79361/empty,Sumandidi,Ariang,2950000,477.jpg,360000,11-10-2023
125,478/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79362/empty,Dendo,Botang,885000,478.jpg,108000,11-10-2023
126,479/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79363/empty,Lika,Botang,885000,479.jpg,108000,11-10-2023
127,480/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79364/empty,Rante Botang,Botang,885000,480.jpg,108000,11-10-2023
128,481/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79365/empty,Tarra Botang,Botang,885000,481.jpg,108000,11-10-2023
129,482/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79366/empty,Marendeng Malia,Botang,2950000,482.jpg,360000,11-10-2023
130,483/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79367/empty,Bendan Siangkaran,Manggau,2950000,483.jpg,360000,11-10-2023
131,484/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79368/empty,Duayan Situru,Manggau,2950000,484.jpg,360000,11-10-2023
