no,no_bam,situs,poktan,desa
52,52/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92159/empty,Karya Usaha,Sumber Mulia
53,53/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92160/empty,Bina Karya Bakti,Sumber Mulia
54,54/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92161/empty,Bersemi,Sumber Mulia
55,55/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92162/empty,Suka Maju,Pagatan Besar
56,56/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92163/empty,Berkat Mufakat,Pagatan Besar
57,57/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92164/empty,Mandiri,Pagatan Besar
58,58/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92165/empty,Penampa Tani,Pagatan Besar
59,59/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92166/empty,Pandak Kuning,Pagatan Besar
60,60/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92167/empty,Sumber Rezeki,Pagatan Besar
61,61/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92168/empty,Rukun Karya,Sumber Makmur
62,62/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92169/empty,Mekar Tani,Sumber Makmur
63,63/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92170/empty,Rukun Tani,Sumber Makmur
64,64/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92171/empty,Bangun Bersama 1,Sumber Makmur
65,65/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92172/empty,Bangun Bersama 2,Sumber Makmur
66,66/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92173/empty,Karya Makmur,Sumber Makmur
67,67/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92174/empty,Agro Lestari,Sumber Makmur
68,68/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92175/empty,Karya Tani Makmur,Sumber Makmur
69,69/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92176/empty,Gapoktan Sumber Rezeki,Gunung Makmur
70,70/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92177/empty,Bangkal,Batilai
71,71/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92178/empty,Sinar Jaya Tani,Banua lawas
72,72/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92179/empty,Batu Balai,Batilai
73,73/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92180/empty,Tani Manuntung,Pulau Sari
74,74/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92181/empty,Hidup Baru,Pulau Sari
75,75/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92182/empty,Mandiri,Pulau Sari
76,76/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92183/empty,Tambak Lurus 1,Pulau Sari
77,77/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92184/empty,Tani Mulya,Gunung Raja
78,78/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92185/empty,Karya Mulya,Gunung Raja
79,79/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92186/empty,Kemuning,Sungai Pinang
80,80/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92187/empty,Maju Bersama,Sungai Bakar
81,81/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92188/empty,Damai Sejahtera,Sungai Bakar
82,82/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92189/empty,Karya Tani,Sungai Bakar
83,83/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92190/empty,Bunga Berseri,Bajuin
84,84/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92191/empty,Semangat Muda,Ketapang
85,85/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92192/empty,Margo Mulyo I,Kunyit
86,86/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92193/empty,Margo Mulyo II,Kunyit
87,87/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92194/empty,Margo Mulyo III,Kunyit
88,88/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92195/empty,Rukun Makmur,Kunyit
89,89/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92196/empty,Sumber Makmur,Kunyit
90,90/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92197/empty,Harapan Masa,Galam
91,91/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92198/empty,Sido Mulyo,Tanjung
92,92/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92199/empty,Setia Kawan,Tanjung
93,93/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92200/empty,Tanjung Berbunga,Tanjung
94,94/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92201/empty,Bukit Bengkiluk,Tirta Jaya
95,95/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92202/empty,Bina Bersama,Panyipatan
96,96/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92203/empty,Minak Jinggo,Batu Tungku
97,97/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92204/empty,Karya Baru,Kandangan Baru
98,98/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92205/empty,Bunga Padi 2,Nusa Indah
99,99/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92206/empty,Suka Maju II,Nusa Indah
100,100/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92207/empty,Tani Harapan,Nusa Indah
101,101/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92208/empty,Buran,Nusa Indah
102,102/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92209/empty,Tambak Batung,Bentok Kampung
103,103/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92210/empty,Sikat,Bentok Kampung
104,104/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92211/empty,Brasau,Bentok Kampung
105,105/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92212/empty,Ubudiyah,Padang
106,106/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92213/empty,Sumber Rejeki,Padang
107,107/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92214/empty,Giat Usaha,Padang
108,108/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92215/empty,Sumber Makmur,Padang
109,109/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92216/empty,Anggang Muda,Liang Anggang
110,110/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92217/empty,Suka Bersatu,Liang Anggang
111,111/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92218/empty,Berkat Bersama,Liang Anggang
112,112/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92219/empty,Bina Usaha,Bati-Bati
