no,nomor,situs,poktan,desa,bast
206,206/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92064/empty,Tunas Mulya,Kalirandu,18585000
207,207/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92065/empty,Sri Bekti,Tegalmlati,30090000
208,208/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92066/empty,Sri Berkah I,Tegalmlati,24485000
209,209/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92067/empty,Sri Berkah II,Tegalmlati,27435000
210,210/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92068/empty,Sri Mulyo,Tegalmlati,30680000
211,211/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92069/empty,Tani Makmur,Kendaldoyong,20060000
212,212/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92070/empty,Ikhtiar Jaya,Kendaldoyong,22125000
213,213/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92071/empty,Sri Makmur,Petanjungan,13275000
214,214/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92072/empty,Sri Mulyo,Petanjungan,14750000
215,215/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92073/empty,Sri Rejeki,Petanjungan,8850000
216,216/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92074/empty,Tani Maju I,Klareyan,33040000
217,217/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92075/empty,Sri Kandi,Klareyan,17995000
218,218/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92076/empty,Shinta I,Klareyan,23600000
219,219/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92077/empty,Shinta II,Klareyan,16815000
220,220/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92078/empty,Sri Unggul,Klareyan,23600000
221,221/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92079/empty,Tani Maju II,Klareyan,11800000
222,222/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92080/empty,Tani Mukti,Klareyan,25075000
223,223/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92081/empty,Sumber Makmur,Bulu,7965000
224,224/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92082/empty,Sido Makmur,Bulu,7965000
225,225/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92083/empty,Sami Makmur,Bulu,8555000
226,226/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92084/empty,Karya Bhakti,Pegundan,13865000
227,227/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92085/empty,Karya Mulya,Pegundan,7080000
228,228/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92086/empty,Loh Jinawi,Pegundan,13275000
229,229/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92087/empty,Tani Jaya,Pegundan,16225000
230,230/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92088/empty,Gotong Royong,Pesucen,13275000
231,231/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92089/empty,Sumber Makmur,Pesucen,24780000
232,232/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92090/empty,Harapan Jaya,Pesucen,15635000
233,233/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92091/empty,Sumber Hasil,Pesucen,11800000
234,234/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92092/empty,Sederhana,Pesucen,13275000
235,235/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92093/empty,Marga Sari I,Asemdoyong,5900000
236,236/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92094/empty,Berkah,Banjaran,23895000
237,237/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92095/empty,Tani Mulya,Beji,7965000
238,238/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92096/empty,Margo Mulyo,Kabunan,17110000
239,239/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92097/empty,Karya Tani III,Kejambon,18585000
240,240/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92098/empty,Tani Lestari,Taman,23305000
241,241/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92099/empty,Tani Jaya,Pener,17700000
242,242/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92100/empty,Karang Mulya,Penggarit,17700000
243,243/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92101/empty,Mapan,Blimbing,10325000
244,244/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92102/empty,Tani Jaya,Blimbing,11800000
245,245/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92103/empty,Tani Makmur II,Cibiyuk,11800000
246,246/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92104/empty,Tani Makmur III,Cibiyuk,12095000
247,247/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92105/empty,Sawunggaling III,Wonogiri,13865000
248,248/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92106/empty,Kendalrejo,Tegalsari Timur,12685000
249,249/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92107/empty,Adem Ayem I,Karangtengah,9145000
