no,nomor,situs,poktan,desa,bast
49,49/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91895/empty,Manggung Wangi,Badak,5900000
50,50/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91896/empty,Budidaya,Badak,7375000
51,51/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91897/empty,Rimpak,Belik,2950000
52,52/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91899/empty,Tulus Rahayu,Belik,5900000
53,53/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91900/empty,Gondang,Belik,5900000
54,54/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91901/empty,Maju Makmur,Gunungtiga,8850000
55,55/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91903/empty,Karya Tani,Mendelem,5900000
56,56/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91904/empty,Krida Tani II,Mendelem,4425000
57,57/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91905/empty,Krida Tani I,Mendelem,5900000
58,58/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91907/empty,Tumpang Sari,Kuta,7375000
59,59/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91908/empty,Sumber Rejeki III,Belik,5900000
60,60/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91909/empty,Tani Maju,Mendelem,4425000
61,61/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91910/empty,Boga Tani II,Mendelem,5900000
62,62/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91911/empty,Krida Tani IV,Mendelem,5900000
63,63/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91912/empty,Situri,Kuta,4425000
64,64/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91913/empty,Sumber Rejeki I,Belik,2950000
65,65/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91914/empty,Sumber Rejeki II,Belik,2950000
66,66/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91915/empty,Bakti Tani II,Mendelem,8850000
67,67/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91916/empty,Maju Makmur,Kuta,8850000
68,68/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91917/empty,Sepaha,Sikasur,8850000
69,69/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91918/empty,Siglunggung,Sikasur,8850000
70,70/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91919/empty,Kedung Belis,Sikasur,8850000
71,71/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91920/empty,Adil II,Bulakan,7965000
72,72/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91921/empty,Sri Mulya,Bulakan,7965000
73,73/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91922/empty,Sido Muncul,Bongas,4425000
74,74/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91923/empty,Lestari,Bongas,5900000
75,75/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91925/empty,Langen Sari II,Bongas,5900000
76,76/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91926/empty,Karya Bakti,Cikadu,8850000
77,77/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91927/empty,Maju Tani,Cikadu,14750000
78,78/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91928/empty,Tunas Harapan,Medayu,5900000
79,79/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91930/empty,Rukun Tani II,Medayu,5900000
80,80/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91931/empty,Kelapa Sawit,Majakerta,7375000
81,81/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91932/empty,Jati Mulya,Majakerta,7375000
82,82/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91934/empty,Mekar Jaya,Majakerta,7375000
83,83/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91935/empty,Tani Maju,Jojogan,4425000
84,84/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91936/empty,Maju Jaya,Jojogan,4425000
85,85/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91938/empty,Maju Sadar,Jojogan,4425000
86,86/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91939/empty,Mukti Sari,Jojogan,5900000
87,87/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91940/empty,Sido Makmur,Wisnu,2950000
88,88/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91942/empty,Mangli,Majalangu,5900000
