2023-08-07 05:47:59,204 [INFO] Filled form for situs: https://mpo.psp.pertanian.go.id/v.5/pelaporan/50741/spasial/create, nomor: 351/bam/poligon
2023-08-07 12:14:09,739 [INFO] Total uploads : 0
2023-08-07 12:21:46,643 [INFO] Total uploads : 0
2023-08-07 12:25:32,908 [INFO] Total uploads : 0
2023-08-07 12:26:46,697 [INFO] Total uploads : 0
2023-08-07 12:28:03,398 [INFO] Filled form for situs: https://mpo.psp.pertanian.go.id/v.5/pelaporan/50743/foto_proses/create, nomor: 1/bam/poligon
2023-08-07 12:28:03,609 [INFO] Filled form for situs: https://mpo.psp.pertanian.go.id/v.5/pelaporan/50744/foto_proses/create, nomor: 2/bam/poligon
2023-08-07 12:28:25,419 [INFO] Filled form for situs: https://mpo.psp.pertanian.go.id/v.5/pelaporan/50745/foto_proses/create, nomor: 3/bam/poligon
2023-08-07 12:28:25,581 [INFO] Filled form for situs: https://mpo.psp.pertanian.go.id/v.5/pelaporan/50746/foto_proses/create, nomor: 4/bam/poligon
2023-08-07 12:28:47,807 [INFO] Total uploads : 0
2023-08-07 12:34:20,527 [INFO] Filled form for situs: https://mpo.psp.pertanian.go.id/v.5/pelaporan/50743/foto_proses/create, nomor: 1/bam/poligon
2023-08-07 12:34:20,722 [INFO] Filled form for situs: https://mpo.psp.pertanian.go.id/v.5/pelaporan/50744/foto_proses/create, nomor: 2/bam/poligon
2023-08-07 12:34:43,570 [INFO] Total uploads : 0
2023-08-07 12:37:32,904 [INFO] Filled form for situs: https://mpo.psp.pertanian.go.id/v.5/pelaporan/50745/foto_proses/create, nomor: 3/bam/poligon
2023-08-07 12:37:33,069 [INFO] Filled form for situs: https://mpo.psp.pertanian.go.id/v.5/pelaporan/50746/foto_proses/create, nomor: 4/bam/poligon
2023-08-07 12:37:33,262 [INFO] Filled form for situs: https://mpo.psp.pertanian.go.id/v.5/pelaporan/50747/foto_proses/create, nomor: 5/bam/poligon
2023-08-07 12:37:33,451 [INFO] Filled form for situs: https://mpo.psp.pertanian.go.id/v.5/pelaporan/50748/foto_proses/create, nomor: 6/bam/poligon
2023-08-07 12:37:56,010 [INFO] Filled form for situs: https://mpo.psp.pertanian.go.id/v.5/pelaporan/50749/foto_proses/create, nomor: 7/bam/poligon
2023-08-07 12:37:56,191 [INFO] Filled form for situs: https://mpo.psp.pertanian.go.id/v.5/pelaporan/50750/foto_proses/create, nomor: 8/bam/poligon
2023-08-07 12:37:56,339 [INFO] Filled form for situs: https://mpo.psp.pertanian.go.id/v.5/pelaporan/50751/foto_proses/create, nomor: 9/bam/poligon
2023-08-07 12:37:56,497 [INFO] Filled form for situs: https://mpo.psp.pertanian.go.id/v.5/pelaporan/50752/foto_proses/create, nomor: 10/bam/poligon
2023-08-07 12:38:18,660 [INFO] Filled form for situs: https://mpo.psp.pertanian.go.id/v.5/pelaporan/50753/foto_proses/create, nomor: 11/bam/poligon
2023-08-07 12:38:18,842 [INFO] Filled form for situs: https://mpo.psp.pertanian.go.id/v.5/pelaporan/50754/foto_proses/create, nomor: 12/bam/poligon
2023-08-07 12:38:19,018 [INFO] Filled form for situs: https://mpo.psp.pertanian.go.id/v.5/pelaporan/50755/foto_proses/create, nomor: 13/bam/poligon
2023-08-07 12:38:19,185 [INFO] Filled form for situs: https://mpo.psp.pertanian.go.id/v.5/pelaporan/50756/foto_proses/create, nomor: 14/bam/poligon
2023-08-07 12:38:41,644 [INFO] Filled form for situs: https://mpo.psp.pertanian.go.id/v.5/pelaporan/50757/foto_proses/create, nomor: 15/bam/poligon
2023-08-07 12:38:41,802 [INFO] Filled form for situs: https://mpo.psp.pertanian.go.id/v.5/pelaporan/50758/foto_proses/create, nomor: 16/bam/poligon
2023-08-07 12:38:41,960 [INFO] Filled form for situs: https://mpo.psp.pertanian.go.id/v.5/pelaporan/50759/foto_proses/create, nomor: 17/bam/poligon
2023-08-07 12:38:42,152 [INFO] Filled form for situs: https://mpo.psp.pertanian.go.id/v.5/pelaporan/50760/foto_proses/create, nomor: 18/bam/poligon
2023-08-07 12:39:04,699 [INFO] Filled form for situs: https://mpo.psp.pertanian.go.id/v.5/pelaporan/50761/foto_proses/create, nomor: 19/bam/poligon
2023-08-07 12:39:04,869 [INFO] Filled form for situs: https://mpo.psp.pertanian.go.id/v.5/pelaporan/50762/foto_proses/create, nomor: 20/bam/poligon
2023-08-07 12:39:05,018 [INFO] Filled form for situs: https://mpo.psp.pertanian.go.id/v.5/pelaporan/50763/foto_proses/create, nomor: 21/bam/poligon
2023-08-07 12:39:05,177 [INFO] Filled form for situs: https://mpo.psp.pertanian.go.id/v.5/pelaporan/50764/foto_proses/create, nomor: 22/bam/poligon
2023-08-07 12:39:27,843 [INFO] Filled form for situs: https://mpo.psp.pertanian.go.id/v.5/pelaporan/50765/foto_proses/create, nomor: 23/bam/poligon
2023-08-07 12:39:28,014 [INFO] Filled form for situs: https://mpo.psp.pertanian.go.id/v.5/pelaporan/50766/foto_proses/create, nomor: 24/bam/poligon
2023-08-07 12:39:28,195 [INFO] Filled form for situs: https://mpo.psp.pertanian.go.id/v.5/pelaporan/50767/foto_proses/create, nomor: 25/bam/poligon
2023-08-07 12:39:28,351 [INFO] Filled form for situs: https://mpo.psp.pertanian.go.id/v.5/pelaporan/50768/foto_proses/create, nomor: 26/bam/poligon
2023-08-07 12:39:50,649 [INFO] Filled form for situs: https://mpo.psp.pertanian.go.id/v.5/pelaporan/50769/foto_proses/create, nomor: 27/bam/poligon
2023-08-07 12:39:50,786 [INFO] Filled form for situs: https://mpo.psp.pertanian.go.id/v.5/pelaporan/50770/foto_proses/create, nomor: 28/bam/poligon
