2023-10-08 15:11:59,348 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Pelaihari, desa: Sungai Riam, kelompok: Mekar Tani
2023-10-08 15:12:04,207 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Pelaihari, desa: Sungai Riam, kelompok: Citra Tani
2023-10-08 15:12:09,281 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Pelaihari, desa: Panjaratan, kelompok: Sumber Karya
2023-10-08 15:12:16,195 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Pelaihari, desa: Panjaratan, kelompok: Cipta Karya
2023-10-08 15:12:23,930 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Pelaihari, desa: Panjaratan, kelompok: Harapan Baru
2023-10-08 15:12:29,098 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Pelaihari, desa: Tungkaran, kelompok: Maju Bersama
2023-10-08 15:12:35,099 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Pelaihari, desa: Tungkaran, kelompok: Karya Tani Baru
2023-10-08 15:12:41,140 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Pelaihari, desa: Kampung Baru, kelompok: Tri Jaya
2023-10-08 15:12:46,581 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Pelaihari, desa: Sumber Mulia, kelompok: Karya Usaha
2023-10-08 15:12:52,147 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Pelaihari, desa: Sumber Mulia, kelompok: Bina Karya Bakti
2023-10-08 15:12:57,058 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Pelaihari, desa: Sumber Mulia, kelompok: Bersemi
2023-10-08 15:13:03,054 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Takisung, desa: Pagatan Besar, kelompok: Suka Maju
2023-10-08 15:13:08,246 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Takisung, desa: Pagatan Besar, kelompok: Berkat Mufakat
2023-10-08 15:13:13,265 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Takisung, desa: Pagatan Besar, kelompok: Mandiri
2023-10-08 15:13:18,210 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Takisung, desa: Pagatan Besar, kelompok: Penampa Tani
2023-10-08 15:13:25,452 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Takisung, desa: Pagatan Besar, kelompok: Pandak Kuning
2023-10-08 15:13:31,149 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Takisung, desa: Pagatan Besar, kelompok: Sumber Rezeki
2023-10-08 15:13:39,006 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Takisung, desa: Sumber Makmur, kelompok: Rukun Karya
2023-10-08 15:13:45,814 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Takisung, desa: Sumber Makmur, kelompok: Mekar Tani
2023-10-08 15:13:52,453 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Takisung, desa: Sumber Makmur, kelompok: Rukun Tani
2023-10-08 15:13:58,767 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Takisung, desa: Sumber Makmur, kelompok: Bangun Bersama 1
2023-10-08 15:14:04,341 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Takisung, desa: Sumber Makmur, kelompok: Bangun Bersama 2
2023-10-08 15:14:09,492 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Takisung, desa: Sumber Makmur, kelompok: Karya Makmur
2023-10-08 15:14:15,270 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Takisung, desa: Sumber Makmur, kelompok: Agro Lestari
2023-10-08 15:14:20,922 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Takisung, desa: Sumber Makmur, kelompok: Karya Tani Makmur
2023-10-08 15:14:26,966 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Takisung, desa: Gunung Makmur, kelompok: Gapoktan Sumber Rezeki
2023-10-08 15:14:32,390 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Takisung, desa: Batilai, kelompok: Bangkal
2023-10-08 15:14:37,467 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Takisung, desa: Banua lawas, kelompok: Sinar Jaya Tani
2023-10-08 15:14:42,651 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Takisung, desa: Batilai, kelompok: Batu Balai
2023-10-08 15:14:48,179 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Tambang Ulang, desa: Pulau Sari, kelompok: Tani Manuntung
2023-10-08 15:14:53,735 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Tambang Ulang, desa: Pulau Sari, kelompok: Hidup Baru
2023-10-08 15:14:59,609 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Tambang Ulang, desa: Pulau Sari, kelompok: Mandiri
2023-10-08 15:15:06,698 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Tambang Ulang, desa: Pulau Sari, kelompok: Tambak Lurus 1
2023-10-08 15:15:12,146 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Tambang Ulang, desa: Gunung Raja, kelompok: Tani Mulya
2023-10-08 15:15:17,510 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Tambang Ulang, desa: Gunung Raja, kelompok: Karya Mulya
2023-10-08 15:15:22,744 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Tambang Ulang, desa: Sungai Pinang, kelompok: Kemuning
2023-10-08 15:15:28,449 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bajuin, desa: Sungai Bakar, kelompok: Maju Bersama
2023-10-08 15:15:33,313 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bajuin, desa: Sungai Bakar, kelompok: Damai Sejahtera
2023-10-08 15:15:40,491 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bajuin, desa: Sungai Bakar, kelompok: Karya Tani
2023-10-08 15:15:45,651 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bajuin, desa: Bajuin, kelompok: Bunga Berseri
2023-10-08 15:15:50,966 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bajuin, desa: Ketapang, kelompok: Semangat Muda
2023-10-08 15:15:56,793 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bajuin, desa: Kunyit, kelompok: Margo Mulyo I
2023-10-08 15:16:02,044 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bajuin, desa: Kunyit, kelompok: Margo Mulyo II
2023-10-08 15:16:07,970 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bajuin, desa: Kunyit, kelompok: Margo Mulyo III
2023-10-08 15:16:12,938 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bajuin, desa: Kunyit, kelompok: Rukun Makmur
2023-10-08 15:16:18,310 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bajuin, desa: Kunyit, kelompok: Sumber Makmur
2023-10-08 15:16:23,511 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bajuin, desa: Galam, kelompok: Harapan Masa
2023-10-08 15:16:28,541 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bajuin, desa: Tanjung, kelompok: Sido Mulyo
2023-10-08 15:16:33,445 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bajuin, desa: Tanjung, kelompok: Setia Kawan
2023-10-08 15:16:38,470 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bajuin, desa: Tanjung, kelompok: Tanjung Berbunga
2023-10-08 15:16:44,076 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bajuin, desa: Tirta Jaya, kelompok: Bukit Bengkiluk
2023-10-08 15:16:50,647 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Panyipatan, desa: Panyipatan, kelompok: Bina Bersama
2023-10-08 15:16:55,895 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Panyipatan, desa: Batu Tungku, kelompok: Minak Jinggo
2023-10-08 15:17:01,280 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Panyipatan, desa: Kandangan Baru, kelompok: Karya Baru
2023-10-08 15:17:06,167 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bati Bati, desa: Nusa Indah, kelompok: Bunga Padi 2
2023-10-08 15:17:11,329 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bati Bati, desa: Nusa Indah, kelompok: Suka Maju II
2023-10-08 15:17:16,787 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bati Bati, desa: Nusa Indah, kelompok: Tani Harapan
2023-10-08 15:17:22,403 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bati Bati, desa: Nusa Indah, kelompok: Buran
2023-10-08 15:17:28,202 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bati Bati, desa: Bentok Kampung, kelompok: Tambak Batung
2023-10-08 15:17:33,739 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bati Bati, desa: Bentok Kampung, kelompok: Sikat
2023-10-08 15:17:38,906 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bati Bati, desa: Bentok Kampung, kelompok: Brasau
2023-10-08 15:17:45,137 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bati Bati, desa: Padang, kelompok: Ubudiyah
2023-10-08 15:17:50,921 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bati Bati, desa: Padang, kelompok: Sumber Rejeki
